Run;WASM;WASM (shared buffer);
320;45.5;42.0999999999767;
321;46.0999999999767;42.0999999999767;
322;46.2999999999302;42;
323;46.0999999999767;41.9000000000233;
324;45.8000000000466;42.0999999999767;
325;46.6000000000931;42.6999999999534;
326;45.4000000000233;42.5999999999767;
327;46.7999999999302;42.7000000000699;
328;45.8999999999069;42.7000000000699;
329;45.5;42.6000000000931;
330;46;41.8000000000466;
331;45.6000000000931;42.5999999999767;
332;45.6999999999534;41.8000000000466;
333;45.0999999999767;42.2000000000699;
334;46.3000000000466;41.9000000000233;
335;45.9000000000233;42.1999999999534;
336;45.5999999999767;42.2000000000699;
337;46.3000000000466;42.0999999999767;
338;45.7999999999302;42.4000000000233;
339;46.1999999999534;42.4000000000233;
340;45.4000000000233;43;
341;46.1999999999534;43;
342;46;42.3000000000466;
343;46.0999999999767;42.6000000000931;
344;45.8000000000466;41.6999999999534;
345;45.5;42.0999999999767;
346;45.6999999999534;41.9000000000233;
347;46.1000000000931;42;
348;45.5;41.7999999999302;
349;45.2999999999302;42.1000000000931;
350;45.2000000000699;42.0999999999767;
351;46;42.3999999999069;
352;45.5;42.2999999999302;
353;46.4000000000233;42.5999999999767;
354;45.7000000000699;42.4000000000233;
355;45.7000000000699;41.7999999999302;
356;45.5;41.6999999999534;
357;45.7999999999302;42.2000000000699;
358;45.5999999999767;41.8000000000466;
359;45.2999999999302;42.0999999999767;
360;45.4000000000233;42.1999999999534;

